,id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo
10188,U-010927,2022-12-14,España,Almería,Almería,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor,3 meses,28,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses
10189,U-010928,2022-12-14,España,Barcelona,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Limpieza,6 meses,36 y 5,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
10190,U-010929,2022-12-14,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cuidar ancianos,3 meses,"52, 19, 11",No,No,No,Hasta 450€,Primera residencia,Pueblos de Palencia,1 mes
10191,U-010930,2022-12-14,Latino América,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Limpieza,,"50, 31, 11, 7, 1",No,No,No,Hasta 600€,Primera residencia,Indiferente,1 mes
10192,U-010931,2022-12-14,Latino América,Madrid,Madrid,No estoy en ninguna de esas situaciones,Ingeniero,3 meses,25-31,No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses
10193,U-010932,2022-12-14,España,Madrid,MADRID,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,32,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,Aún me lo estoy pensando
10194,U-010933,2022-12-14,Latino América,Ninguna,Bogotá,No estoy en ninguna de esas situaciones,Operario,6 meses,42-35-14-12-8,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
10195,U-010934,2022-12-15,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Transportista,3 meses,"46, 37, 8",Si,Si,Si,Hasta 450€,Primera residencia,"Indiferente, menos de 150km de Madrid",Aún me lo estoy pensando
10196,U-010935,2022-12-15,España,Castellón,Villarreal,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Hostelero,,"36,34,3",No,No,Si,Hasta 300€,Primera residencia,Pueblos de Cuenca,Aún me lo estoy pensando
10197,U-010936,2022-12-15,España,Salamanca,"Bejar , Salamanca",Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empresario,6 meses,10- 29 y 31,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Zamora,3 meses
10198,U-010937,2022-12-15,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,25 y 27,No,Si,No,Hasta 600€,Primera residencia,Indiferente,6 meses
10199,U-010938,2022-12-15,España,Alicante,ASPE,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Logística de transportes,1 año,51/ 36 / 24 MESES,Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
10200,U-010939,2022-12-15,España,Santa Cruz de Tenerife,Sant cruz de tenerife,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Enfermero,,50 y 30,No,Si,No,Hasta 600€,Primera residencia,Indiferente,Aún me lo estoy pensando
10201,U-010940,2022-12-15,España,Pontevedra,Caldas de Rei,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,Más de 1 año,"47,46,27 y 22. Y queremos quedar embarazados.",No,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses
10202,U-010941,2022-12-15,España,Valencia,Manises,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor,1 año,25 y 25,Si,Si,Si,Hasta 600€,Primera residencia,Indiferente,6 meses
10203,U-010942,2022-12-16,España,Asturias,Gijón Asturias,No estoy en ninguna de esas situaciones,Auxiliar,3 meses,27-23-22-20-19-5-2,No,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses
