,id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,Otros,nan_filas
3337,U-003649,2020-09-16,España,Andalucía,Malaga,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Jardinero,3 meses,"40,41,5",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando,3,1,0,0,0,0,0
3338,U-003650,2020-09-16,Latino América,Ninguna,Ciudad Autónoma de Buenos Aires,No estoy en ninguna de esas situaciones,Administrativo,3 meses,"29,29,6",No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,3,0,0,0,0,0,0
3339,U-003651,2020-09-16,España,Castilla y León,valladolid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero Industrial,3 meses,"31,32",Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,3 meses,2,0,1,0,0,0,0
3340,U-003652,2020-09-16,Latino América,Ninguna,Madrid Capital,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Informático,3 meses,30,Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,1,1,0,0,0,0,0
3341,U-003653,2020-09-16,España,Cataluña,L´Escala,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Desempleado,3 meses,"43,39,19,5,3",Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Galicia,3 meses,5,0,0,0,0,1,0
3342,U-003654,2020-09-16,España,Madrid,Becerril de la Sierra,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empresario,3 meses,"38,31,3,0",Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,4,1,0,0,0,0,0
3343,U-003655,2020-09-17,España,Asturias,Llanes,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Veterinario,3 meses,"29,2",No,No,No,Hasta 300€,Primera residencia,Indiferente,3 meses,2,1,0,0,0,0,0
3344,U-003656,2020-09-17,Otro,Ninguna,Chinchilla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mecánico,3 meses,"49,45,17",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,3,0,1,0,0,0,0
3345,U-003657,2020-09-17,España,Comunitat Valenciana,sagunto,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,"47,51",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Soria,6 meses,2,1,0,0,0,0,0
3346,U-003658,2020-09-17,España,Comunitat Valenciana,Picassent,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Desempleado,6 meses,"26,5,3",No,No,No,Hasta 300€,Primera residencia,Pueblos de Galicia,3 meses,3,0,0,0,0,1,0
