,autonomia_economica,coche_propio,carnet_coche,mascota,presupuesto_alquiler,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,sector_otros,predisposicion_pueblo_1 mes,predisposicion_pueblo_3 meses,predisposicion_pueblo_6 meses,predisposicion_pueblo_Aún me lo estoy pensando,year,month,day,pais_de_residencia_España,pais_de_residencia_Latino América,pais_de_residencia_Otro,pais_de_residencia_Resto de Europa (dentro de UE),prov_norte,prov_sur,prov_este,prov_centro,prov_madrid,prov_fuera_espana,situacion_en_espana_No estoy en ninguna de esas situaciones,situacion_en_espana_Tengo nacionalidad española / de un país de la UE / permiso de residencia,primera_segunda_vivienda_Primera residencia,primera_segunda_vivienda_Segunda residencia,zona_interes_Indiferente,"zona_interes_Indiferente, menos de 150km de Madrid",zona_interes_Navarra,zona_interes_Pueblos de Burgos,zona_interes_Pueblos de Cuenca,zona_interes_Pueblos de Galicia,zona_interes_Pueblos de Jaén,zona_interes_Pueblos de Palencia,zona_interes_Pueblos de Segovia,zona_interes_Pueblos de Soria,zona_interes_Pueblos de Zamora,zona_interes_Pueblos de Zaragoza,zona_interes_Pueblos de Zaragoza-Huesca,zona_interes_Sierra norte de Madrid
68,3,1,1,1,2,4,0,1,0,0,0,1,0,0,0,2020,12,7,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,12,1,1,1,2,1,1,0,0,0,0,0,0,1,0,2020,12,7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,6,0,0,0,2,2,0,1,0,0,0,0,0,0,1,2020,12,7,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,6,1,1,1,1,4,0,0,0,0,0,1,0,0,0,2020,12,9,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2020,12,9,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,12,0,0,1,2,4,0,0,0,0,0,0,0,1,0,2020,12,10,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,6,1,1,1,1,2,0,0,0,0,0,0,0,1,0,2020,12,10,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,3,1,1,1,1,4,0,0,0,0,0,0,0,0,1,2020,12,10,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,6,1,1,1,2,1,0,0,0,0,0,0,0,1,0,2020,12,10,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,6,1,1,1,1,2,0,0,0,0,0,1,0,0,0,2020,12,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,14,1,1,0,4,3,0,0,0,0,0,0,0,1,0,2020,12,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,3,1,1,1,2,1,1,0,0,0,0,1,0,0,0,2020,12,12,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,12,0,1,0,1,2,0,0,0,0,0,1,0,0,0,2020,12,13,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,3,0,0,0,3,5,1,0,0,0,0,0,0,1,0,2020,12,13,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,3,1,0,1,2,1,1,0,0,0,0,0,0,1,0,2020,12,13,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,3,1,1,0,1,6,0,0,0,0,0,1,0,0,0,2020,12,14,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3,1,1,1,1,3,0,0,0,0,0,1,0,0,0,2020,12,15,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,3,0,1,0,1,3,0,0,0,0,0,0,0,1,0,2020,12,17,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,14,1,1,1,2,1,0,1,0,0,0,1,0,0,0,2020,12,17,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,0,0,0,1,5,0,0,0,0,0,0,0,1,0,2020,12,17,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,3,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2020,12,17,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,14,1,1,1,2,1,1,0,0,0,0,1,0,0,0,2020,12,19,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,3,0,1,1,1,2,0,0,0,0,0,1,0,0,0,2020,12,19,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3,0,1,1,1,2,1,0,0,0,0,0,0,1,0,2020,12,21,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,14,1,1,0,1,3,1,0,0,0,0,0,1,0,0,2020,12,21,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,3,1,1,1,1,1,1,0,0,0,0,0,0,1,0,2020,12,22,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,3,0,0,0,1,3,1,0,0,0,0,1,0,0,0,2020,12,23,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,6,1,1,0,3,4,1,0,0,0,0,0,1,0,0,2020,12,25,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,14,0,1,0,2,1,0,0,0,0,0,0,0,1,0,2020,12,26,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,3,1,1,0,1,2,1,0,0,0,0,0,0,1,0,2020,12,27,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,14,0,1,1,1,1,0,0,0,0,0,1,0,0,0,2020,12,27,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,3,1,1,0,1,1,1,0,0,0,0,1,0,0,0,2020,12,29,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,12,0,1,0,2,2,0,0,0,0,0,1,0,0,0,2020,12,29,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,6,0,1,0,1,4,0,0,1,0,0,0,0,1,0,2020,12,30,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,3,0,1,0,1,2,1,0,0,0,0,0,0,1,0,2020,12,30,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124,12,1,1,1,1,4,0,0,0,0,0,0,0,1,0,2021,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,6,1,1,0,1,1,1,0,0,0,0,0,0,1,0,2021,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,3,0,0,0,2,1,1,0,0,0,0,0,1,0,0,2021,1,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,3,1,1,1,1,1,0,0,0,0,0,1,0,0,0,2021,1,3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3,0,1,1,1,1,1,0,0,0,0,0,0,1,0,2021,1,3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,14,1,0,1,1,4,0,0,1,0,0,0,0,1,0,2021,1,3,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,14,1,1,1,2,2,0,0,0,0,0,0,0,1,0,2021,1,4,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,14,0,0,0,1,5,1,0,0,0,0,1,0,0,0,2021,1,4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
137,14,0,0,0,3,2,0,0,0,0,0,1,0,0,0,2021,1,4,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,12,1,1,1,2,4,0,0,1,0,0,0,1,0,0,2021,1,4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3,1,1,0,1,1,0,0,1,0,0,0,0,1,0,2021,1,4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,6,1,1,1,2,2,1,0,0,0,0,0,0,1,0,2021,1,4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,14,1,1,1,1,1,1,0,0,0,0,0,1,0,0,2021,1,5,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,6,1,1,1,1,2,1,0,0,0,0,0,1,0,0,2021,1,5,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,6,0,1,1,1,2,0,0,0,0,0,1,0,0,0,2021,1,5,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149,3,0,1,0,1,1,1,0,0,0,0,1,0,0,0,2021,1,5,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,1,1,1,1,3,1,0,0,0,0,0,0,1,0,2021,1,6,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,6,0,1,0,2,2,1,0,0,0,0,0,1,0,0,2021,1,6,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,14,1,1,0,3,3,0,0,0,0,0,0,0,0,1,2021,1,7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,6,1,1,0,1,2,0,0,0,0,0,0,0,1,0,2021,1,7,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,6,0,0,1,2,7,1,0,0,0,0,0,0,1,0,2021,1,9,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
159,3,1,1,1,2,2,0,0,0,0,1,0,0,1,0,2021,1,9,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
160,12,1,1,0,1,5,1,0,0,0,0,0,0,1,0,2021,1,9,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,3,1,1,1,1,2,1,0,0,0,0,0,0,1,0,2021,1,9,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162,3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2021,1,9,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,12,1,1,0,1,2,1,0,0,0,0,0,0,1,0,2021,1,9,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,12,1,1,1,1,2,1,0,0,0,0,0,0,0,1,2021,1,11,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
166,6,1,1,1,1,2,0,0,0,0,1,1,0,0,0,2021,1,11,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167,14,0,0,0,1,3,0,0,0,0,1,0,0,1,0,2021,1,11,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,3,0,0,0,1,2,1,0,0,0,0,1,0,0,0,2021,1,12,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,3,0,0,1,1,1,1,0,0,0,0,1,0,0,0,2021,1,12,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,12,1,1,1,3,4,1,0,0,0,0,0,1,0,0,2021,1,12,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,6,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2021,1,12,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
174,3,0,1,0,2,1,1,0,0,0,0,0,1,0,0,2021,1,12,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,3,1,1,1,2,2,0,0,0,0,0,0,0,1,0,2021,1,12,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,6,1,1,1,1,4,0,0,0,0,1,0,0,1,0,2021,1,12,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177,14,1,1,1,3,5,1,0,0,0,0,1,0,0,0,2021,1,13,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178,14,1,1,1,2,4,1,0,0,0,0,1,0,0,0,2021,1,13,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,6,0,0,0,1,3,0,0,0,0,0,1,0,0,0,2021,1,13,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2021,1,13,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
181,6,1,1,1,3,3,1,0,0,0,0,1,0,0,0,2021,1,13,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,12,1,1,0,1,6,0,0,0,0,0,0,0,1,0,2021,1,13,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
183,14,1,1,1,1,3,0,0,0,0,0,0,0,0,1,2021,1,13,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,14,1,1,1,2,2,0,1,0,0,0,0,0,1,0,2021,1,13,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,3,1,1,0,3,1,0,0,0,0,0,0,0,1,0,2021,1,13,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,14,1,1,0,1,1,0,0,0,0,1,0,0,1,0,2021,1,14,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
187,3,0,0,0,1,6,0,0,0,0,0,0,1,0,0,2021,1,14,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188,3,1,1,0,1,2,0,0,0,0,0,0,0,1,0,2021,1,14,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
189,12,1,1,0,2,2,1,0,0,0,0,0,0,1,0,2021,1,14,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,3,1,1,1,3,1,0,0,0,0,0,1,0,0,0,2021,1,14,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
193,12,0,1,0,3,1,1,0,0,0,0,0,0,1,0,2021,1,14,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,14,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2021,1,15,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
