,id,fecha,pais_de_residencia,provincia_de_espana,situacion_en_espana,profesion,autonomia_economica,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,sector_otros,prov_norte,prov_sur,prov_este,prov_centro,prov_madrid,prov_fuera_espana
8690,U-009424,2022-07-25,España,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Artes visuales,3 meses,No,No,No,Hasta 300€,Primera residencia,Indiferente,6 meses,1,0,0,0,0,0,0,0,1,0,0,0
8691,U-009425,2022-07-25,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Carnicero,Más de 1 año,Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,Aún me lo estoy pensando,3,0,0,0,0,0,0,0,0,0,0,1
8692,U-009426,2022-07-25,España,Zamora,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Limpieza,1 año,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,4,0,0,0,0,0,0,0,0,1,0,0
8693,U-009427,2022-07-25,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor,Más de 1 año,Si,Si,Si,Más de 600€,Primera residencia,Sierra norte de Madrid,1 mes,1,0,0,0,0,0,0,0,0,0,1,0
8694,U-009428,2022-07-25,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,3 meses,Si,Si,No,Más de 600€,Primera residencia,Sierra norte de Madrid,6 meses,2,0,1,0,0,0,0,0,0,0,1,0
8695,U-009429,2022-07-25,Latino América,Ninguna,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,6 meses,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Cuenca,6 meses,7,0,1,0,0,0,0,0,0,0,0,1
8696,U-009430,2022-07-25,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Marketing y publicidad,3 meses,No,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses,2,1,0,0,0,0,0,0,0,0,0,1
8697,U-009431,2022-07-25,España,Valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,No,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes,4,0,0,0,0,0,0,0,1,0,0,0
8698,U-009432,2022-07-26,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Profesor,3 meses,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,3 meses,2,0,0,0,0,0,0,0,0,0,0,1
8699,U-009433,2022-07-26,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Conductor,1 año,No,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes,2,1,0,0,0,0,0,0,0,0,0,1
8700,U-009434,2022-07-26,Latino América,Ninguna,No estoy en ninguna de esas situaciones,Técnico,3 meses,No,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses,4,0,1,0,0,0,0,0,0,0,0,1
8701,U-009435,2022-07-26,Otro,Ninguna,No estoy en ninguna de esas situaciones,Limpieza,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,2,0,0,0,0,0,0,0,0,0,0,1
8702,U-009436,2022-07-26,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cuidar ancianos,3 meses,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,1 mes,7,0,0,0,0,0,0,0,0,0,1,0
8703,U-009437,2022-07-26,España,Málaga,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Pintor,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando,1,1,0,0,0,0,0,1,0,0,0,0
8704,U-009438,2022-07-26,España,Murcia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,1 año,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,1,0,0,0,0,0,0,0,1,0,0,0
8705,U-009439,2022-07-26,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mozo almacén,6 meses,No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,3,0,0,0,0,0,0,0,0,0,1,0
8706,U-009440,2022-07-26,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Farmacéutico,6 meses,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,6 meses,2,1,0,0,0,0,0,0,0,0,1,0
8707,U-009441,2022-07-26,España,Almería,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro,3 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes,1,1,0,0,0,0,0,1,0,0,0,0
8708,U-009442,2022-07-26,España,Zaragoza,No estoy en ninguna de esas situaciones,Conductor,1 año,No,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes,4,1,0,0,0,0,0,0,0,1,0,0
8709,U-009443,2022-07-26,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Compositor,1 año,No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,1,1,0,0,0,0,0,0,0,0,1,0
8710,U-009444,2022-07-26,España,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Informático,6 meses,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,3,1,0,0,0,0,0,0,0,0,1,0
