iter	Passed	Remaining
576	3305	2423
577	3309	2416
578	3314	2410
579	3318	2403
580	3323	2397
581	3328	2390
582	3334	2384
583	3338	2378
584	3342	2371
585	3347	2365
586	3352	2359
587	3357	2352
588	3361	2345
589	3366	2339
590	3370	2332
591	3374	2325
592	3379	2319
593	3382	2312
594	3387	2305
595	3391	2298
596	3395	2292
597	3399	2285
598	3402	2278
599	3407	2271
600	3412	2265
601	3418	2259
602	3421	2252
603	3425	2246
604	3431	2240
605	3434	2233
606	3439	2226
607	3442	2219
608	3446	2212
609	3450	2206
610	3455	2199
611	3458	2192
612	3463	2186
613	3467	2180
614	3472	2173
615	3477	2167
616	3482	2161
617	3486	2154
618	3491	2148
619	3494	2142
620	3499	2135
621	3504	2129
622	3508	2123
623	3512	2116
624	3517	2110
625	3522	2104
626	3526	2098
627	3531	2091
628	3535	2085
629	3540	2079
630	3544	2072
631	3549	2066
632	3553	2060
633	3557	2053
634	3561	2046
635	3565	2040
636	3569	2034
637	3574	2027
638	3578	2021
639	3583	2015
640	3588	2010
641	3592	2003
642	3597	1997
643	3601	1991
644	3606	1984
645	3609	1978
646	3614	1972
647	3618	1965
648	3623	1959
649	3628	1954
650	3632	1947
651	3637	1941
652	3641	1934
653	3645	1928
654	3649	1922
655	3654	1916
656	3658	1910
657	3663	1903
658	3667	1897
659	3672	1891
660	3677	1885
661	3681	1879
662	3685	1873
663	3689	1867
664	3694	1861
665	3698	1854
666	3703	1849
667	3708	1843
668	3713	1837
669	3718	1831
670	3722	1825
671	3727	1819
672	3731	1813
673	3737	1807
674	3741	1801
675	3746	1795
676	3750	1789
677	3754	1783
678	3758	1776
679	3762	1770
680	3765	1763
681	3770	1758
682	3774	1751
683	3778	1745
684	3782	1739
685	3786	1733
686	3791	1727
687	3795	1721
688	3800	1715
689	3805	1709
690	3809	1703
691	3813	1697
692	3817	1691
693	3823	1685
694	3828	1679
695	3833	1674
696	3837	1668
697	3842	1662
698	3847	1656
699	3852	1650
700	3856	1645
701	3862	1639
702	3868	1634
703	3872	1628
704	3876	1622
705	3881	1616
706	3886	1610
707	3890	1604
708	3895	1598
709	3900	1593
710	3906	1587
711	3911	1582
712	3916	1576
713	3921	1570
714	3927	1565
715	3932	1559
716	3937	1554
717	3942	1548
718	3946	1542
719	3952	1536
720	3957	1531
721	3963	1526
722	3969	1520
723	3976	1515
724	3982	1510
725	3989	1505
726	3994	1500
727	4000	1494
728	4006	1489
729	4012	1484
730	4017	1478
731	4023	1472
732	4026	1466
733	4032	1461
734	4038	1456
735	4043	1450
736	4049	1444
737	4055	1439
738	4061	1434
739	4067	1429
740	4073	1423
741	4079	1418
742	4085	1413
743	4091	1407
744	4097	1402
745	4103	1397
746	4108	1391
747	4114	1386
748	4119	1380
749	4126	1375
750	4131	1369
751	4137	1364
752	4144	1359
753	4149	1353
754	4155	1348
755	4161	1343
756	4167	1337
757	4173	1332
758	4179	1327
759	4186	1321
760	4192	1316
761	4197	1311
762	4204	1305
763	4210	1300
764	4216	1295
765	4222	1289
766	4228	1284
767	4234	1279
768	4241	1273
769	4246	1268
770	4252	1263
771	4258	1257
772	4264	1252
773	4270	1246
774	4276	1241
775	4282	1236
776	4288	1230
777	4294	1225
778	4300	1220
779	4307	1214
780	4312	1209
781	4318	1204
782	4324	1198
783	4330	1193
784	4336	1187
785	4342	1182
786	4348	1177
787	4354	1171
788	4360	1166
789	4366	1160
790	4372	1155
791	4378	1149
792	4384	1144
793	4390	1138
794	4396	1133
795	4402	1128
796	4408	1122
797	4414	1117
798	4420	1111
799	4426	1106
800	4432	1101
801	4437	1095
802	4444	1090
803	4450	1084
804	4456	1079
805	4462	1073
806	4467	1068
807	4473	1062
808	4479	1057
809	4485	1052
810	4491	1046
811	4497	1041
812	4503	1035
813	4508	1030
814	4514	1024
815	4520	1019
816	4526	1013
817	4532	1008
818	4538	1003
819	4545	997
820	4550	992
821	4556	986
822	4562	981
823	4568	975
824	4574	970
825	4580	964
826	4586	959
827	4592	953
828	4598	948
829	4604	943
830	4609	937
831	4615	931
832	4621	926
833	4628	921
834	4634	915
835	4639	910
836	4645	904
837	4651	899
838	4657	893
839	4662	888
840	4668	882
841	4674	877
842	4679	871
843	4685	866
844	4691	860
845	4697	855
846	4704	849
847	4710	844
848	4716	838
849	4722	833
850	4728	827
851	4734	822
852	4740	816
853	4746	811
854	4752	805
855	4758	800
856	4764	794
857	4770	789
858	4775	783
859	4782	778
860	4787	772
861	4794	767
862	4800	762
863	4805	756
864	4812	751
865	4818	745
866	4824	740
867	4830	734
868	4836	729
869	4842	723
870	4848	718
871	4854	712
872	4860	707
873	4866	701
874	4871	695
875	4877	690
876	4883	684
877	4889	679
878	4896	673
879	4901	668
880	4907	662
881	4913	657
882	4918	651
883	4924	646
884	4930	640
885	4936	635
886	4942	629
887	4948	624
888	4953	618
889	4960	613
890	4966	607
891	4972	602
892	4978	596
893	4984	591
894	4990	585
895	4996	579
896	5002	574
897	5008	568
898	5014	563
899	5021	557
900	5027	552
901	5032	546
902	5038	541
903	5044	535
904	5050	530
905	5056	524
906	5061	518
907	5068	513
908	5073	507
909	5079	502
910	5085	496
911	5090	491
912	5096	485
913	5103	480
914	5109	474
915	5116	469
916	5121	463
917	5127	457
918	5132	452
919	5138	446
920	5144	441
921	5151	435
922	5156	430
923	5162	424
924	5169	419
925	5175	413
926	5180	407
927	5185	402
928	5189	396
929	5195	391
930	5201	385
931	5207	379
932	5214	374
933	5220	368
934	5226	363
935	5232	357
936	5238	352
937	5244	346
938	5251	341
939	5257	335
940	5263	330
941	5269	324
942	5275	318
943	5282	313
944	5288	307
945	5295	302
946	5301	296
947	5308	291
948	5315	285
949	5321	280
950	5327	274
951	5334	268
952	5340	263
953	5345	257
954	5351	252
955	5357	246
956	5363	240
957	5370	235
958	5375	229
959	5382	224
960	5389	218
961	5395	213
962	5402	207
963	5408	201
964	5415	196
965	5421	190
966	5427	185
967	5433	179
968	5440	174
969	5446	168
970	5452	162
971	5459	157
972	5465	151
973	5471	146
974	5477	140
975	5483	134
976	5489	129
977	5494	123
978	5501	118
979	5507	112
980	5514	106
981	5520	101
982	5526	95
983	5532	89
984	5538	84
985	5544	78
986	5550	73
987	5556	67
988	5562	61
989	5569	56
990	5575	50
991	5582	45
992	5588	39
993	5595	33
994	5600	28
995	5607	22
996	5613	16
997	5620	11
998	5626	5
999	5631	0
